internal,end-to-end
0.161,0.215
0.154,0.22
0.148,0.217
0.154,0.235
0.162,0.249
0.161,0.247
0.149,0.254
0.161,0.266
0.159,0.267
0.152,22.395
0.152,21.585
0.157,20.743
0.152,19.895
0.143,19.056
0.157,18.209
0.151,17.347
0.152,16.52
0.143,15.664
0.151,14.797
0.155,13.982
0.156,13.137
0.156,12.276
0.167,11.456
0.151,10.625
0.154,9.771
0.15,8.925
0.162,8.083
0.169,7.25
0.16,6.422
0.149,5.585
0.145,4.736
0.149,3.913
0.158,3.128
0.157,2.276
0.156,1.47
0.163,0.644
0.167,0.28
0.156,0.268
0.153,0.253
0.153,0.216
0.152,0.218
0.146,0.214
0.149,0.211
0.149,0.211
0.171,0.238
0.19,0.284
0.167,0.26
0.14,0.221
0.153,0.26
0.151,0.255
