internal,end-to-end,source_directory
0.162,0.219,results2
0.179,0.244,results2
0.189,0.257,results2
0.172,0.292,results2
0.287,0.417,results2
0.169,0.28,results2
0.192,0.339,results2
0.181,0.388,results2
0.232,0.385,results2
0.199,22.483,results2
0.181,21.671,results2
0.181,20.838,results2
0.174,20.024,results2
0.178,19.17,results2
0.164,18.312,results2
0.202,17.503,results2
0.201,16.73,results2
0.169,15.86,results2
0.191,15.046,results2
0.171,14.202,results2
0.175,13.374,results2
0.16,12.532,results2
0.172,11.697,results2
0.179,10.867,results2
0.224,10.087,results2
0.179,9.227,results2
0.181,8.411,results2
0.193,7.587,results2
0.185,6.733,results2
0.175,5.898,results2
0.165,5.018,results2
0.187,4.098,results2
0.239,3.229,results2
0.157,2.315,results2
0.212,1.429,results2
0.21,0.521,results2
0.177,0.335,results2
0.174,0.296,results2
0.199,0.368,results2
0.174,0.235,results2
0.189,0.256,results2
0.197,0.272,results2
0.183,0.255,results2
0.19,0.261,results2
0.205,0.271,results2
0.173,0.283,results2
0.2,0.346,results2
0.186,0.314,results2
0.161,0.326,results2
0.173,0.355,results2
0.188,0.246,results3
0.218,0.283,results3
0.237,0.307,results3
0.197,0.303,results3
0.169,0.271,results3
0.198,0.331,results3
0.179,0.326,results3
0.194,0.352,results3
0.197,0.319,results3
0.168,22.435,results3
0.18,21.601,results3
0.2,20.799,results3
0.229,20.037,results3
0.188,19.183,results3
0.177,18.352,results3
0.188,17.543,results3
0.182,16.713,results3
0.179,15.853,results3
0.176,14.992,results3
0.214,14.206,results3
0.208,13.376,results3
0.182,12.566,results3
0.178,11.745,results3
0.186,10.921,results3
0.18,10.097,results3
0.173,9.264,results3
0.194,8.449,results3
0.175,7.615,results3
0.169,6.783,results3
0.18,5.964,results3
0.175,5.107,results3
0.183,4.217,results3
0.187,3.285,results3
0.171,2.358,results3
0.174,1.454,results3
0.192,0.552,results3
0.221,0.372,results3
0.204,0.366,results3
0.2,0.342,results3
0.191,0.278,results3
0.196,0.287,results3
0.169,0.242,results3
0.256,0.357,results3
0.194,0.247,results3
0.171,0.234,results3
0.17,0.278,results3
0.18,0.284,results3
0.185,0.295,results3
0.173,0.316,results3
0.189,0.35,results3
0.175,0.232,results
0.19,0.264,results
0.17,0.238,results
0.188,0.296,results
0.184,0.303,results
0.204,0.311,results
0.184,0.335,results
0.192,0.35,results
0.174,0.3,results
0.156,22.394,results
0.17,21.57,results
0.166,20.751,results
0.175,19.928,results
0.187,19.131,results
0.205,18.354,results
0.187,17.554,results
0.181,16.717,results
0.163,15.882,results
0.179,15.057,results
0.2,14.258,results
0.169,13.434,results
0.177,12.614,results
0.187,11.801,results
0.167,10.977,results
0.17,10.151,results
0.178,9.312,results
0.168,8.501,results
0.177,7.688,results
0.219,6.894,results
0.187,6.057,results
0.187,5.225,results
0.162,4.321,results
0.18,3.404,results
0.184,2.523,results
0.215,1.673,results
0.234,0.82,results
0.167,0.32,results
0.186,0.335,results
0.245,0.422,results
0.17,0.259,results
0.166,0.227,results
0.177,0.251,results
0.165,0.228,results
0.18,0.261,results
0.177,0.239,results
0.21,0.314,results
0.191,0.299,results
0.184,0.294,results
0.17,0.304,results
0.172,0.319,results
